"","data_train_30$X","SeriousDlqin2yrs","RevolvingUtilizationOfUnsecuredLines","age","NumberOfTime30.59DaysPastDueNotWorse","DebtRatio","MonthlyIncome","NumberOfOpenCreditLinesAndLoans","NumberOfTimes90DaysLate","NumberRealEstateLoansOrLines","NumberOfTime60.89DaysPastDueNotWorse","NumberOfDependents"
"138",769,1,0,32,0,0.44187375,3500,5,0,1,0,2
"139",770,0,0.072377744,48,0,0.399050079,12000,9,0,2,0,0
"140",775,0,0.015293506,50,0,0.372513562,1105,13,0,0,0,0
"141",794,1,1.25748503,26,0,0.129805014,1794,1,2,0,1,0
"142",800,0,0.04564894,27,0,0.274952015,4167,21,0,1,0,0
"143",801,1,0.962946947,50,0,0.68127587,4106,8,0,1,1,0
"144",804,0,0.067400749,26,0,0.166517857,4479,10,0,0,0,0
"145",819,0,0.9999999,48,0,0.165213329,6421,0,1,0,0,2
"146",841,0,0.547124146,40,0,0.121319069,9066,6,0,0,0,4
"147",857,1,0.778719498,81,0,0.53801306,4287,11,0,2,0,0
"148",861,0,0.457154579,50,0,0.103425118,13400,7,0,0,0,2
"149",886,0,0.010186243,47,0,0.022504141,24750,7,0,0,0,2
"150",889,0,0.108983159,53,0,0.31035201,4800,10,0,1,0,0
"151",893,0,0.958820874,56,0,0.236573549,9700,12,0,1,0,1
"152",896,0,0.819115784,54,0,0.528381219,2853,7,0,1,0,0
"153",905,0,0.037379559,37,0,0.333851794,9000,11,0,2,0,0
"154",910,0,0.003735788,39,0,0.459166466,4150,10,0,2,0,0
"155",922,1,0.514353049,39,0,0.984408835,2308,15,0,1,0,1
"156",927,0,0.391045602,24,0,0.069040925,3200,11,0,0,0,0
"157",931,0,0.041366785,45,0,0.224577542,10000,8,0,0,0,2
"158",938,0,0.163750645,65,0,0.266873313,10000,13,0,1,0,0
"159",944,1,0.913773615,55,2,0.881655429,4300,17,0,2,0,1
"160",968,1,1.004421666,48,3,0.605098725,4000,10,0,2,0,1
"161",977,0,0.278636315,47,0,0.587361677,6867,22,0,1,0,4
"162",988,0,0.019327552,80,0,0.180763847,5000,11,0,0,0,0
"163",989,1,0.878245498,40,0,0.18141723,3400,5,0,0,0,1
"164",993,0,0.691722293,78,0,0.691183331,6430,6,0,2,0,0
"165",994,0,0.275946359,57,1,0.283411686,13400,10,0,1,0,0
"166",995,0,0.037454421,57,0,0.355043926,3300,17,0,1,0,0
"167",1009,0,0.9999999,42,0,0.217236784,2250,1,0,0,0,2
"168",1017,1,0.017558727,47,0,0.53540175,2513,10,1,1,0,0
"169",1018,0,0.115428519,41,0,0.278969295,6480,12,1,1,1,0
"170",1023,0,0.02464305,75,0,0.009947892,4221,10,0,0,0,1
"171",1026,0,0.9999999,38,1,0.134071341,6503,1,0,0,0,3
"172",1030,1,0.546513871,35,0,0.93824256,8500,17,0,4,0,2
"173",1041,0,0.377915278,51,0,0.061148228,8830,5,0,0,0,1
"174",1045,1,0.829560586,34,1,0.248187953,4000,6,0,1,0,2
"175",1046,0,0.631259134,39,0,0.273340433,2816,7,0,0,0,0
"176",1051,0,0.012538557,63,0,0.38510101,2375,12,0,2,0,0
"177",1056,0,0.520689428,68,3,0.777370438,6000,9,0,3,0,0
"178",1064,0,0.251804415,66,0,0.611755298,2500,7,0,1,0,0
"179",1065,0,0.088911089,35,0,0.000526177,3800,3,0,0,0,0
"180",1066,0,0.987743331,50,0,0.4474,9999,13,0,2,0,0
"181",1069,0,0.218991588,54,0,0.586137954,3000,13,0,1,0,0
"182",1085,1,0.00073798,41,0,0.493126718,4000,4,0,1,0,2
"183",1093,0,0.275326535,66,1,0.38317757,5884,17,0,1,0,0
"184",1095,0,0.026147183,67,0,0.329780147,1500,7,0,1,0,0
"185",1098,0,0.223677632,67,0,0.326283407,5200,4,0,1,0,2
"186",1099,0,0.077246781,32,0,0.368421053,4084,7,0,1,0,0
"187",1106,0,0.960431398,63,0,0.31506036,5052,3,0,1,0,1
"188",1112,0,0.48092721,62,0,1.031724668,5200,14,0,3,0,1
"189",1113,0,0.009917446,64,0,0.447430975,5468,12,0,2,0,0
"190",1116,0,0.135042385,71,0,0.017903057,10500,14,0,0,0,0
"191",1123,0,0.004104171,55,1,1,0,5,0,0,1,0
"192",1125,0,0.267352626,72,0,0.426685865,4166,10,0,2,0,0
"193",1127,0,0.9999999,70,0,0,5406.95038960261,1,0,0,0,0.0713202872212987
"194",1139,0,0.001759965,46,0,0.214688239,5500,5,0,1,0,2
"195",1140,0,0.390088472,39,0,0.326036484,3014,6,0,0,0,0
"196",1141,0,0.007353556,80,0,0.29991431,3500,16,0,0,0,1
"197",1144,0,0.39142696,58,2,0.384779992,7476,6,0,2,0,0
"198",1153,0,0.684020951,50,0,0.894878706,11500,21,0,3,0,0
"199",1154,1,0.81054584,57,2,1.141452126,3456,29,0,1,1,1
"200",1160,0,0.941447055,54,0,1.843949701,4850,15,0,4,0,1
"201",1165,0,0.247597087,56,0,0.702749471,5200,8,0,1,0,2
"202",1172,0,0.002776037,55,0,0.37584925,7800,11,0,2,0,1
"203",1174,1,0.9999999,71,1,0.313816494,2800,2,0,1,1,0
"204",1181,0,0.386875937,48,0,0.119083018,20850,19,0,0,0,2
"205",1185,0,0.058309113,70,0,0.723310676,2500,12,0,2,0,0
"206",1187,1,0.087649402,27,0,0.009995457,2200,2,0,0,1,1
"207",1193,0,0.963614554,46,0,0.224283305,3557,5,1,1,0,3
"208",1198,0,0.9999999,50,0,0.914857386,2348,5,0,1,0,0
"209",1201,1,0,36,0,0.157678245,4375,7,0,0,0,2
"210",1208,0,0.028200734,56,0,0.084599116,5200,10,0,1,0,0
"211",1213,0,0.149113358,68,0,0.699205217,4906,8,0,2,0,0
"212",1214,0,0.726759759,55,0,0.65170345,9333,9,0,3,0,2
"213",1217,0,0.51835032,73,0,0.685146095,9000,13,0,2,0,0
"214",1226,0,0.065421016,56,1,0.238432226,1836,9,0,0,0,0
"215",1227,0,0.901408451,27,0,0.15104398,2250,5,0,0,0,0
"216",1231,0,0,37,0,1.687366167,1400,8,0,2,0,0
"217",1232,1,0.9999999,60,1,0.540617473,4566,2,0,1,1,0
"218",1237,0,0.811623025,33,1,0.439755691,1800,8,0,0,0,4
"219",1244,0,0.007749806,60,0,0.220213749,7578,8,0,1,0,0
"220",1247,0,0.120179936,52,1,0.427216786,9912,10,0,3,0,1
"221",1256,0,0.017926392,62,0,0.005187456,4240,6,0,0,0,0
"222",1261,1,0.887080965,45,0,0.482275525,4710,4,0,1,1,2
"223",1266,0,0.004195682,45,1,0.478190226,8000,12,0,2,0,1
"224",1267,1,0.767840152,74,3,0.2964495,2900,4,1,0,1,0
"225",1268,1,0.041191762,31,0,0.261369315,2000,3,0,0,0,0
"226",1274,0,0.924271715,45,4,0.441760601,3725,7,2,0,0,2
"227",1278,1,0.965034965,35,0,0.062791628,7500,2,0,1,1,2
"228",1283,0,0.760016551,48,2,0.917543584,6366,10,0,1,0,1
"229",1295,0,0.020212314,55,0,0.302395774,5300,13,0,1,0,0
"230",1297,1,0.9999999,34,0,0.254256527,6166,5,1,1,1,2
"231",1300,1,0.9999999,30,0,0.015108425,5625,2,0,0,0,1
"232",1302,0,0.176443529,67,0,0.182522829,9417,15,0,2,0,0
"233",1303,0,0,42,0,0.483205749,6400,3,0,1,0,4
"234",1312,1,0.983078225,42,0,0.884470118,4500,17,0,2,0,2
"235",1313,0,0,57,0,0,7193.10514785849,12,0,0,0,0
"236",1314,1,0.972150876,59,0,1.473797947,1850,12,0,2,0,0
"237",1318,0,0.575314156,59,0,0.653881071,4405,6,0,1,0,0
"238",1329,0,0.011753293,63,0,0.104972376,3800,3,0,1,0,0
"239",1337,0,0.322649069,38,0,0.267259537,4272,5,0,2,0,0
"240",1339,1,0.617025827,26,0,0.160912815,3417,5,0,0,0,0
"241",1340,1,0.409985282,69,1,0.279980823,14600,15,0,2,0,0
"242",1343,0,0.04719764,74,0,0.37567161,9305,8,0,5,0,8
"243",1348,0,0.022780051,53,0,0.323067693,10000,14,0,2,0,1
"244",1357,0,0.111327624,32,0,0.37043826,6000,11,0,1,0,1
"245",1366,0,0,46,0,0.014388489,833,5,0,0,0,0
"246",1370,0,0,37,0,0.372540812,7166,6,0,1,0,0
"247",1377,0,0.113400284,31,0,0.254913728,6664,9,0,2,0,0
"248",1382,0,0.01519924,59,0,0.280407101,21910,5,0,4,0,1
"249",1385,0,0.022440925,63,0,0.012506724,7435,19,0,0,0,0
"250",1401,1,0.82644118,38,0,0.6536804,5800,9,0,1,0,2
"251",1405,1,0,67,0,0.345825195,16383,20,0,3,0,1
"252",1410,0,0,61,0,0.248972297,5594,7,0,2,0,0
"253",1411,0,0.103318532,84,0,0.278180455,4000,12,0,0,0,0
"254",1414,0,0.00126708,40,0,0.730317064,2806,15,0,2,0,3
"255",1417,0,0.10835629,63,0,0.005165806,6000,3,0,0,0,0
"256",1420,0,0,59,0,0.160813579,6833,9,0,1,0,0
"257",1423,1,0,41,1,0.526684164,8000,4,1,2,1,1
"258",1434,0,0.68346203,48,0,0.129354508,3903,4,0,0,0,0
"259",1444,0,0.18805926,55,1,0.542411134,5316,19,0,1,0,2
"260",1446,0,0.477140863,71,0,0.349572725,11350,11,0,3,0,0
"261",1456,0,0.353103186,45,0,0.878525593,6700,22,0,2,0,3
"262",1458,0,0.673189544,35,0,0.424098921,3800,5,0,1,0,0
"263",1463,0,0.212957409,61,0,0.49910018,5000,4,0,2,0,0
"264",1465,1,0.702381432,54,0,0.866732547,14166,21,0,6,0,3
"265",1467,0,0.196222729,67,0,0.158012596,7144,9,0,1,0,0
"266",1478,0,0.004396358,80,0,0.23319682,4150,10,0,2,0,1
"267",1486,1,1.083405734,55,3,0.490218316,3526,10,0,1,1,1
"268",1487,0,0.688665867,34,0,1.034152436,2400,12,0,1,0,3
"269",1492,0,0.443379207,42,0,1.412587413,1000,8,0,0,0,0
"270",1497,0,0.023945636,63,0,0.032692543,8166,13,0,1,0,0
"271",1503,0,0.014370016,69,0,0.432807679,5833,9,0,1,0,0
"272",1506,0,0.16805774,43,0,0.313671582,4000,7,0,1,0,0
"273",1507,0,0.005971329,54,0,0.280197575,4453,13,0,1,0,2
"274",1513,0,0.386691448,41,3,0.276689324,2500,14,0,0,0,0
"275",1515,0,0.689770077,34,0,0.308230874,5855,5,0,2,1,0
"276",1527,0,0.088336591,43,0,0.216678332,10000,15,0,1,0,2
"277",1530,0,0.168772615,58,0,0.289779829,10400,11,0,1,0,1
"278",1540,0,0.070741157,65,0,0.146763902,2193,5,0,0,0,0
"279",1543,0,0,30,0,0.149209191,3350,10,0,0,0,0
"280",1546,0,0.098019024,55,0,0.025917927,4166,7,0,0,0,1
"281",1547,0,0.135407518,61,0,0.343653846,5199,12,0,1,0,0
"282",1550,0,0.905468868,31,1,0.35297212,1900,6,0,0,2,0
"283",1551,0,0.011986243,77,0,0.010284245,7000,21,0,0,0,0
"284",1563,0,0.639081992,48,0,0.362545818,3000,5,1,1,0,1
"285",1567,0,0,88,1,0,9265,7,0,0,0,0
"286",1576,0,5.37e-05,41,0,0.108461814,5577,7,0,0,0,1
"287",1581,1,0.602746575,42,0,0.260608705,9166,4,0,0,0,1
"288",1583,0,0.034247393,43,0,0.159026599,5300,10,0,1,0,1
"289",1586,0,0.999578992,55,4,0.148483601,7286,6,0,0,0,0
"290",1588,0,0.380480301,68,0,0.051771117,2568,2,0,0,0,3
"291",1589,0,0.187409279,38,0,0.49730054,5000,7,0,1,0,2
"292",1595,0,0.030024681,61,0,0.852235551,1833,5,0,1,0,0
"293",1600,1,0.9999999,35,1,0.900911497,3400,6,0,2,0,0
"294",1607,0,0.014088028,51,0,0.007997715,3500,6,0,0,0,1
"295",1613,0,1.034893879,39,0,0.439362795,9729,10,0,1,0,3
"296",1615,1,0.983338887,27,0,0.106808245,1600,9,0,0,0,0
"297",1622,0,0.041104587,28,0,0.3041988,3500,8,0,0,0,0
"298",1623,0,0.299417878,56,0,0.65971575,8583,11,0,2,0,0
"299",1628,0,0.021547106,56,0,0.318019519,4200,12,0,2,0,2
"300",1637,0,0.045759314,41,0,0.409914601,4800,17,0,2,0,2
"301",1649,1,0.922505535,45,0,0.501614046,12700,11,0,4,0,1
"302",1653,0,0.9999999,34,0,0.357756601,6400,6,0,2,0,0
"303",1654,0,0.033983551,34,0,0.243744128,11708,14,0,2,0,0
"304",1656,0,0.024378631,52,0,0.150484952,10000,4,0,1,0,3
"305",1666,0,0.212526282,43,1,0.206479352,10000,8,0,2,0,0
"306",1676,0,0.883293947,36,0,0.3118458,7833,7,0,1,0,0
"307",1686,0,0.01150123,43,0,0.418702196,4052,4,0,1,0,0
"308",1693,0,0.016861692,48,0,0.425821711,12260,12,0,5,0,4
"309",1696,0,0.306338732,57,0,0.376373626,6915,12,0,3,0,2
"310",1702,0,0.01029897,29,0,0.00119952,2500,1,0,0,0,0
"311",1708,0,1.006955514,66,0,0.214392804,2000,3,0,0,0,0
"312",1714,1,0.9999999,52,0,0.237812128,6727,2,4,0,1,1
"313",1716,0,0.039016915,67,0,0.499126383,1716,5,0,0,0,0
"314",1720,0,0,25,0,0.633373934,820,3,0,0,0,0
"315",1724,0,0.006922189,68,0,1,1975.49957005293,9,0,0,0,0
"316",1736,0,0.295740852,47,0,0.178619035,3750,3,0,0,0,2
"317",1755,0,0.514708735,35,0,0.91878384,2400,18,0,1,0,1
"318",1756,0,0.344317885,27,0,0.17953362,4416,8,0,0,0,0
"319",1759,0,0.017832739,38,0,0.003870718,5166,4,0,0,0,1
"320",1767,1,0.197701607,55,1,0.258874113,10000,7,0,2,1,1
"321",1771,1,0.768820786,25,1,0.569584736,1781,6,0,0,0,0
"322",1772,0,0.705197204,56,0,0.262722496,55000,16,0,6,0,1
"323",1778,0,0.332944509,38,0,0.004916257,12000,3,0,0,0,1
"324",1781,0,0.9999999,32,0,0.566289141,1500,4,0,0,0,0
"325",1791,0,0,52,0,0.163458647,6649,3,0,1,0,2
"326",1797,1,0.978808477,47,1,0.428419088,3750,5,4,0,0,1
"327",1798,1,1.050951924,61,3,0.801221544,1800,7,3,2,0,0
"328",1801,1,0.9999999,39,0,0.041420118,3041,2,1,0,0,3
"329",1805,0,0.086672375,79,0,0.134648714,7500,15,0,0,0,0
"330",1806,0,0.02365588,70,0,0.01793722,2452,7,0,0,0,0
"331",1813,0,0.026599391,62,0,0.074071225,13000,9,0,1,0,1
"332",1819,0,0.106507141,40,0,0.173443541,7500,13,1,2,0,1
"333",1827,1,0.9999999,64,1,0.967923863,2836,6,0,1,0,2
"334",1830,0,0.028592856,33,1,0.191657272,2660,8,0,0,0,0
"335",1831,0,0.9999999,31,0,0,1200,0,0,0,0,0
"336",1837,0,0.9999999,42,0,0.082983403,5000,1,1,0,0,2
"337",1839,1,0.924601885,43,1,0.367097806,6880,4,0,0,0,1
"338",1843,0,0.038488034,42,0,1.225011008,2270,10,0,2,0,2
"339",1846,1,0.9999999,55,0,0.025398541,3700,1,2,0,1,0
"340",1863,0,0.038950934,69,0,0.179793912,8442,15,0,2,0,0
"341",1867,1,1.000782541,49,1,0.642629905,6600,9,0,1,1,0
"342",1871,0,0.169233231,47,0,0.228154369,5000,6,0,1,0,2
"343",1876,0,0.026048127,49,0,0.322921627,10500,24,0,3,0,0
"344",1878,1,0.9999999,41,0,0.492424242,5147,5,1,1,0,1
"345",1881,0,0.508008865,49,1,0.360940809,8970,10,0,2,0,4
"346",1882,0,0.000115738,60,0,0.008918316,14800,5,0,0,0,1
"347",1886,0,0.010646433,32,0,0.000830979,6016,8,0,0,0,2
"348",1890,0,0.281677722,32,0,0.400887929,8333,7,0,1,0,4
"349",1900,0,0.556591981,45,0,1.409716125,6833,22,0,8,0,0
"350",1910,1,0.9999999,30,0,0,2900,3,0,0,0,1
"351",1912,1,0.680161943,47,4,0.378735696,9000,7,0,1,0,2
"352",1915,0,0.9999999,24,0,0.176025918,925,1,0,0,0,0
"353",1916,0,0.672442519,85,2,0.020381451,5347,7,1,0,1,0
"354",1921,0,0.484136932,46,0,0.144113613,12392,7,0,1,0,0
"355",1922,0,0.084647226,70,0,0.224233283,5966,4,0,1,0,0
"356",1929,0,0.86234251,34,0,0.370256803,5217,6,0,1,1,2
"357",1934,0,0,42,0,0,5000,2,0,0,0,0
"358",1938,0,0.10189678,24,0,0.017257039,1100,7,0,0,0,0
"359",1950,0,0.239984263,33,0,0.553889222,5000,6,0,1,0,1
"360",1952,0,0.239735812,45,0,0.73225917,5833,9,0,1,0,0
"361",1953,0,0.087409383,39,0,0.389115063,4666,6,0,2,0,1
"362",1956,1,1.022703603,44,2,0.200471991,8050,6,2,0,2,1
"363",1965,0,0.073916921,44,0,0.1828594,7595,8,0,1,0,0
"364",1967,0,0.335712013,41,0,0.648859731,3200,3,0,2,0,0
"365",1968,0,0.504430534,25,0,0.188216476,3750,13,0,0,0,0
"366",1972,0,0.741639022,55,1,0.652793401,8000,7,0,1,0,0
"367",1973,0,0.456195677,65,0,0.395201599,3000,6,0,0,0,0
"368",1978,1,0.966777409,40,2,0.90261115,2833,5,3,1,1,2
"369",1980,1,0.909494725,23,0,0.149140344,2500,8,0,0,0,0
"370",1981,0,0.016422761,83,0,0.005982292,4178,8,0,0,0,0
"371",1999,0,0.004222228,77,0,0.002671416,1122,5,0,0,0,0
"372",2004,0,0.08628288,61,0,0.310054326,12700,10,0,3,0,0
"373",2020,0,0.093598023,62,0,0.226219025,5003,14,0,1,0,0
"374",2025,1,0.9999999,46,0,0.427854938,5183,4,1,1,0,7
"375",2031,0,0.571987146,46,0,0.187713925,5550,9,0,0,0,1
"376",2033,1,0.752445768,55,2,0.305395683,2779,5,2,0,1,0
